Date Collected,Sample.ID,Region,Population,MaterNAl_Family,Individual,B_Number of Stomata,B_Max. Length_Stomata1,B_MidWidth_Stomata1,B_MidWidth_GuardCell_A_Stomata 1,B_MidWidth_GuardCell_B_Stomata1,B_Max. Length_Stomata2,B_MidWidth_Stomata2,B_MidWidth_GuardCell_A_Stomata 2,B_MidWidth_GuardCell_B_Stomata2,B_Max. Length_Stomata3,B_MidWidth_Stomata3,B_MidWidth_GuardCell_A_Stomata3,B_MidWidth_GuardCell_B_Stomata3,T_Number of Stomata,T_Max. Length_Stomata1,T_MidWidth_Stomata1,T_MidWidth_GuardCell_A_Stomata 1,T_MidWidth_GuardCell_B_Stomata1,T_Max. Length_Stomata2,T_MidWidth_Stomata2,T_MidWidth_GuardCell_A_Stomata 2,T_MidWidth_GuardCell_B_Stomata2,T_Max. Length_Stomata3,T_MidWidth_Stomata3,T_MidWidth_GuardCell_A_Stomata3,T_MidWidth_GuardCell_B_Stomata3,Ratio,Av_GCLengthB,Av_GCLengthT,Av_GCLength,Density_B,Density_T,SAI_B,SAI_T
7/28/2016,MAN-MIS.30.6,GL Alvar,MAN-MIS,30,6,11,0.025,0.017,0.004,0.003,0.026,0.022,0.005,0.005,0.022,0.017,0.004,0.004,13,0.026,0.019,0.004,0.005,0.029,0.02,0.006,0.004,0.024,0.018,0.005,0.005,1.181818182,0.024333333,0.026333333,0.025333333,143.2291667,169.2708333,3.485243008,4.457465221
7/12/2016,WA-BLK.17,Prairie,WA-BLK,17,NA,9,0.027,0.023,0.005,0.005,0.031,0.019,0.005,0.006,0.031,0.022,0.004,0.005,4,0.03,0.019,0.004,0.004,0.031,0.019,0.004,0.004,0.029,0.016,0.003,0.002,0.444444444,0.029666667,0.03,0.029833333,117.1875,52.08333333,3.476562539,1.5625
7/18/2016,AB-LL.22.7,Prairie,AB-LL,22,7,11,0.023,0.017,0.003,0.003,0.024,0.016,0.003,0.003,0.025,0.016,0.003,0.004,13,0.028,0.018,0.006,0.005,0.0028,0.02,0.005,0.006,0.026,0.017,0.004,0.004,1.181818182,0.024,0.018933333,0.021466667,143.2291667,169.2708333,3.4375,3.204861055
7/25/2016,MAN-LCI.15.1,GL Alvar,MAN-LCI,15,1,10,0.029,0.018,0.004,0.005,0.025,0.018,0.006,0.006,0.025,0.02,0.005,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026333333,NA,NA,130.2083333,NA,3.428819401,NA
7/29/2016,MB-MR.2.2,M Alvar,MB-MR,2,2,10,0.028,0.021,0.006,0.006,0.026,0.018,0.005,0.005,0.024,0.017,0.004,0.003,22,0.027,0.02,0.005,0.005,0.024,0.018,0.005,0.004,0.028,0.017,0.004,0.005,2.2,0.026,0.026333333,0.026166667,130.2083333,286.4583333,3.385416667,7.543402682
7/10/2016,SD-MUD.23.5,Prairie,SD-MUD,23,5,9,0.028,0.021,0.005,0.005,0.03,0.02,0.005,0.005,0.028,0.021,0.004,0.005,10,0.03,0.02,0.006,0.006,0.028,0.018,0.004,0.005,0.027,0.02,0.006,0.005,1.111111111,0.028666667,0.028333333,0.0285,117.1875,130.2083333,3.359375039,3.689236068
7/16/2016,AB-LL.12.9,Prairie,AB-LL,12,9,8,0.033,0.026,0.004,0.005,0.033,0.021,0.006,0.006,0.03,0.02,0.005,0.005,5,0.029,0.021,0.006,0.006,0.028,0.021,0.005,0.005,0.026,0.02,0.006,0.006,0.625,0.032,0.027666667,0.029833333,104.1666667,65.10416667,3.333333333,1.801215299
7/30/2016,ND-BSP.33.7,Prairie,ND-BSP,33,7,9,0.029,0.018,0.004,0.004,0.028,0.02,0.004,0.004,0.027,0.018,0.004,0.004,16,0.026,0.019,0.006,0.005,0.031,0.021,0.006,0.006,0.028,0.021,0.005,0.007,1.777777778,0.028,0.028333333,0.028166667,117.1875,208.3333333,3.28125,5.902777708
7/6/2016,MB-MR.38.5,M Alvar,MB-MR,38,5,9,0.027,0.021,0.004,0.005,0.028,0.02,0.004,0.004,0.027,0.019,0.004,0.004,15,0.026,0.019,0.005,0.005,0.023,0.019,0.004,0.005,0.025,0.017,0.004,0.004,1.666666667,0.027333333,0.024666667,0.026,117.1875,195.3125,3.203124961,4.817708398
7/12/2016,WA-BLK.18,Prairie,WA-BLK,18,NA,8,0.027,0.02,0.005,0.005,0.028,0.021,0.005,0.006,0.034,0.022,0.005,0.005,6,0.034,0.019,0.004,0.006,0.033,0.02,0.005,0.005,0.031,0.014,0.003,0.004,0.75,0.029666667,0.032666667,0.031166667,104.1666667,78.125,3.090277813,2.552083359
7/27/2016,MAN-FOX.18.1,GL Alvar,MAN-FOX,18,1,8,0.029,0.022,0.004,0.004,0.029,0.018,0.005,0.005,0.026,0.019,0.005,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,NA,NA,104.1666667,NA,2.916666667,NA
7/16/2016,AB-LL.12.7,Prairie,AB-LL,12,7,7,0.029,0.022,0.005,0.005,0.03,0.021,0.005,0.005,0.03,0.021,0.005,0.005,11,0.028,0.021,0.005,0.005,0.029,0.022,0.006,0.005,0.028,0.02,0.005,0.005,1.571428571,0.029666667,0.028333333,0.029,91.14583333,143.2291667,2.703993086,4.058159674
7/12/2016,WA-BLK.11,Prairie,WA-BLK,11,NA,5,0.035,0.023,0.007,0.006,0.036,0.025,0.006,0.005,0.03,0.026,0.006,0.006,6,0.031,0.022,0.006,0.006,0.032,0.022,0.007,0.006,0.031,0.022,0.006,0.008,1.2,0.033666667,0.031333333,0.0325,65.10416667,78.125,2.191840299,2.447916641
